first_name,last_name,email,phone,company_name,job_title,location,country,age,gender,subscription_status,plan,mrr,lifetime_value,subscription_start_date,subscription_end_date,payment_status,payment_method_type,last_payment_date,next_billing_date,payment_failure_count,last_login_date,sessions_per_week,feature_usage_percentage,total_sessions,average_session_duration_minutes,last_feature_usage_date,lead_source,lifecycle_stage,sales_owner_name,deal_count,total_deal_value,last_contact_date,first_contact_date,is_subscribed,open_rate,click_rate,emails_sent,campaign_count,total_tickets,open_tickets,csat_score,average_resolution_time,first_ticket_date,last_ticket_date,external_id
Sarah,Johnson,sarah.johnson@techcorp.com,+1-555-0101,TechCorp Solutions,VP of Engineering,New York,US,34,Female,Active,Enterprise,499.00,12475.00,2022-03-15,2025-03-15,Active,Credit Card,2024-05-28,2024-06-15,0,2024-05-30,5,87.5,156,42.3,2024-05-30,Website,Customer,John Davis,3,75000,2024-05-29,2022-03-15,true,45.2,8.7,45,8,2,0,4.8,2.5,2022-04-01,2024-03-15,TECH_001
Marcus,Williams,marcus.williams@innovate.io,+1-555-0102,InnovateIO,Chief Technology Officer,San Francisco,US,41,Male,Active,Pro,299.00,8970.00,2021-08-20,2025-08-20,Active,Credit Card,2024-05-29,2024-06-20,0,2024-05-29,6,92.3,203,38.7,2024-05-29,Referral,Customer,Jane Smith,5,125000,2024-05-28,2021-08-20,true,52.1,12.4,67,12,1,0,4.9,1.8,2021-09-10,2024-02-20,INNO_002
Emily,Chen,emily.chen@dataflow.net,+1-555-0103,DataFlow Analytics,Senior Data Scientist,Seattle,US,29,Female,Active,Basic,149.00,4470.00,2023-01-10,2025-01-10,Active,Credit Card,2024-05-27,2024-06-10,0,2024-05-28,4,78.9,89,35.2,2024-05-28,LinkedIn,Lead,Mike Johnson,2,45000,2024-05-26,2023-01-10,true,38.7,6.3,32,5,3,1,4.2,3.1,2023-02-15,2024-04-10,DATA_003
Robert,Anderson,robert.anderson@cloudbase.com,+1-555-0104,CloudBase Systems,Director of Operations,Austin,US,37,Male,Active,Enterprise,599.00,17970.00,2022-06-05,2025-06-05,Active,ACH,2024-05-30,2024-06-05,0,2024-05-30,7,94.6,234,45.8,2024-05-30,Trade Show,Customer,Sarah Wilson,4,89000,2024-05-30,2022-06-05,true,48.3,10.2,78,15,0,0,4.7,2.2,2022-07-01,2023-12-20,CLOUD_004
Jessica,Martinez,jessica.martinez@fintech.co,+1-555-0105,FinTech Solutions,Product Manager,Miami,US,32,Female,Active,Pro,349.00,10470.00,2022-11-18,2025-11-18,Active,Credit Card,2024-05-29,2024-06-18,0,2024-05-29,5,85.7,145,40.1,2024-05-29,Google Ads,Customer,Tom Brown,3,62000,2024-05-28,2022-11-18,true,42.9,9.1,56,9,2,0,4.5,2.8,2022-12-05,2024-01-30,FIN_005
David,Thompson,david.thompson@retailpro.biz,+1-555-0106,RetailPro Management,CEO,Chicago,US,45,Male,Active,Enterprise,799.00,31960.00,2021-02-14,2025-02-14,Active,Credit Card,2024-05-28,2024-06-14,0,2024-05-28,6,96.2,298,52.4,2024-05-28,Cold Email,Customer,Lisa Davis,7,156000,2024-05-27,2021-02-14,true,55.8,14.6,123,18,1,0,4.9,1.5,2021-03-20,2024-04-22,RETAIL_006
Amanda,Wilson,amanda.wilson@healthtech.org,+1-555-0107,HealthTech Innovations,VP of Marketing,Boston,US,38,Female,Active,Pro,399.00,15960.00,2021-09-30,2025-09-30,Active,Credit Card,2024-05-30,2024-06-30,0,2024-05-30,5,88.4,187,41.9,2024-05-30,Partner Referral,Customer,Kevin White,4,78000,2024-05-29,2021-09-30,true,51.3,11.8,89,14,2,0,4.6,2.4,2021-10-15,2024-02-18,HEALTH_007
Christopher,Brown,christopher.brown@edusys.edu,+1-555-0108,EduSystems Plus,Chief Information Officer,Denver,US,42,Male,Active,Enterprise,549.00,21960.00,2022-04-12,2025-04-12,Active,ACH,2024-05-29,2024-06-12,0,2024-05-29,6,91.7,212,44.6,2024-05-29,Content Marketing,Customer,Rachel Green,5,98000,2024-05-28,2022-04-12,true,46.7,8.9,67,11,1,0,4.8,2.1,2022-05-20,2024-03-08,EDU_008
Michelle,Davis,michelle.davis@logistics.net,+1-555-0109,Logistics Network,Senior Operations Manager,Phoenix,US,36,Female,Active,Pro,279.00,8370.00,2023-02-28,2025-02-28,Active,Credit Card,2024-05-27,2024-06-28,0,2024-05-27,4,82.1,98,37.5,2024-05-27,Industry Event,Lead,Mark Thompson,2,41000,2024-05-25,2023-02-28,true,39.4,7.2,43,6,3,1,4.3,3.4,2023-03-15,2024-04-20,LOG_009
James,Garcia,james.garcia@manufacturing.com,+1-555-0110,Manufacturing Solutions,Plant Manager,Detroit,US,48,Male,Active,Enterprise,649.00,25960.00,2021-07-08,2025-07-08,Active,Credit Card,2024-05-30,2024-07-08,0,2024-05-30,5,89.3,176,39.8,2024-05-30,Sales Call,Customer,Nancy Johnson,6,134000,2024-05-29,2021-07-08,true,44.1,9.7,78,13,2,0,4.7,2.6,2021-08-12,2024-01-25,MFG_010
